ADC hub,FOSS,Software license,Active,Last Update,Notes
ADCH++,Yes,GPL,Yes,2016-03-08 / 2.12.1,[added]
ADCH++ GUI,Yes,GPL,No,[empty],[added]
DSHub,Yes,GPL,No,2008-10-09 / RC1,[added]
FlexHub,Yes,AGPL,Yes,2013-10-20 / 0.2 svn 1469,[added]
Luadch,Yes,GPLv2,Yes,2019-10-13 / v2.20,[added]
Nexthub,Yes,MIT License,No,[empty],[added]
uhub,Yes,GPL,Yes,2014-10-17 / 0.5.0,In Debian[2] and OpenWrt[3]
ErlHub,Yes,GPL,?,[empty],[added]
Qhub,Yes,GPL,No,2006-07-09 / v0.10,[added]
Starlet ADC Hub,No,Proprietary,Yes,[empty],[added]
Starhub,No,source code available,No,[empty],[added]
RusHub,Yes,GPL,Yes,2012-07-10 / 2.3.10,[added]
ADC hub,FOSS,Software license,Active,[empty],[added]
ADC hub,Windows,Linux,OS X,Other
ADCH++,Yes,Yes,No,No
ADCH++ GUI,Yes,Yes,No,Any Python enabled platform
DSHub,Yes,Yes,Yes,Any Java enabled platform
FlexHub,Yes,Yes,No,No
Luadch,Yes,Yes,Yes,Raspberry Pi  Synology NAS  any GCC enabled platform
Nexthub,Yes,?,No,Any C# enabled platform
uhub,Yes,Yes,Yes,BSD  Haiku  OpenWrt  Solaris
Erlhub,Yes,Yes,Yes,Any Erlang enabled platform
Qhub,?,?,?,?
Starlet ADC Hub,No,No,No,OpenVMS
Starhub,Yes,Yes,Yes,Any Java enabled platform
RusHub,Yes,Yes,Yes,FreeBSD  Solaris
ADC hub,Windows,Linux,OS X,Other
ADC hub,GUI,CLI,Other,Programming language,Based on
ADCH++,No,Yes,?,C++  Lua  Python  Ruby,[empty]
ADCH++ GUI,Yes,No,?,C++  Python,ADCH++
DSHub,Yes,Yes,?,Java  Python,[empty]
FlexHub,Planned,Yes,?,Lua,[empty]
Luadch,No,Yes,?,C++  Lua,[empty]
Luadch GUI,Yes,No,?,wxLua,[empty]
Nexthub,Yes,No,No,C-Sharp,[empty]
uhub,No,Yes,?,C,[empty]
Erlhub,?,?,?,Erlang,[empty]
Qhub,?,?,?,?,[empty]
Starlet ADC Hub,No,Yes,No,C,[empty]
StarHub,Yes,?,?,Java,[empty]
RusHub,No,Yes,No,C++,[empty]
ADC hub,GUI,CLI,Other,Programming language,Based on
