Driver name,Chipset,Integration,Non-free firmware required,License,Original/Primary developer,Development
acx,Texas Instruments ACX100/ACX111,Integrated since 1.5,Yes,BSD,[empty],Reverse engineering
an,Aironet 4500/4800,Integrated,On Device,BSD,Bill Paul (FreeBSD),[empty]
ath,Atheros AR5210/ AR5211/AR5212/AR5416,Integrated,On Device,BSD,[empty],[empty]
bwi,Broadcom BCM430x/4318,Integrated,Yes,BSD,Sepherosa Ziehau,Reverse engineering
iwi,Intel PRO/Wireless 2200BG/2915ABG,Integrated,Yes,BSD,Damien Bergamini (OpenBSD),Reverse engineering
iwl,Intel PRO/Wireless 2100,Integrated,Yes,BSD,Damien Bergamini (OpenBSD),Reverse engineering
iwn,Intel 4965/1000/5000/ 5150/5300/6000/6050,Integrated,Yes,BSD,Damien Bergamini (OpenBSD),Reverse engineering
ral,Ralink RT2500/ RT2501/RT2600,Integrated,On Device,BSD,Damien Bergamini,Ported from FreeBSD
rtw,Realtek RTL8180L,Integrated,On Device,BSD,[empty],Ported from NetBSD
rum,Ralink RT2501USB/RT2601USB,Integrated,On Device,BSD,Damien Bergamini,Ported from FreeBSD
wi,Lucent Hermes (WaveLAN / ORiNOCO); Intersil PRISM-II  -2.5; Symbol Spectrum24 802.11b,Integrated,On Device,BSD,Bill Paul (FreeBSD),Documentation based
wpi,Intel 3945ABG,Integrated,On Device,BSD,Damien Bergamini,Ported from OpenBSD
Driver,Chipset,Integration,Non-free firmware required[note 1],License,Original/Primary developer,Development
acx,Texas Instruments ACX100/ACX111,Separate project,Yes,BSD,[empty],Reverse engineering
an,Aironet 4500/4800  Cisco Aironet 340/350  Xircom Wireless Ethernet,Integrated,On Device,BSD,Bill Paul (FreeBSD),[empty]
arl,Aironet Arlan 655,Integrated / Removed in 8.0,On Device,BSD,[empty],[empty]
ath,Atheros AR5210/ AR5211/ AR5212/ AR5416 /AR9130 /AR9160 /AR9280 /AR9285 /AR9287 /AR9565 (and derivatives),Integrated,No,BSD,Originally by Atheros via Sam Leffler (FreeBSD); supported by the community,Documentation based
awi,AMD PCnetMobile,Integrated / Removed in 8.0,On Device,BSD,Bill Sommerfeld (NetBSD) and Atsushi Onoe (NetBSD),[empty]
bwi,Broadcom BCM43xx/4318,Integrated since 8.0,Yes,BSD,Sepherosa Ziehau (DragonFly BSD)  Andrew Thompson (FreeBSD)  Sam Leffler (FreeBSD),Ported from DragonFly BSD
bwn,Broadcom BCM43xx/4318 v4 firmware,Integrated since 8.1,Yes,BSD,Weongyo Jeong,?
cnw,Netwave AirSurfer,Integrated / Removed in 8.0,On Device,BSD,Imported from NetBSD,[empty]
ipw,Intel PRO/Wireless 2100,Integrated,Yes,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Reverse engineering
iwi,Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,Yes,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Reverse engineering
iwm,Intel Dual Band Wireless-AC 3160 / 3165 / 7260 / 7265 / 8260,?,?,[empty],?,?
iwn,Intel PRO/Wireless 4965 ABGN/ 5100/ 5300/ 5350/ 1000 Intel Centrino 6000/ 6150/ 6200/ 6205/ 6230/ 6250/ 6300,Integrated since 8.0 / Available for 7.1 and above as separate patch,Yes,BSD,Damien Bergamini  Benjamin Close  Sam Leffler (OpenBSD/ FreeBSD),Reverse engineering
malo,Marvell 88W8335,Integrated,Yes,BSD,Weongyo Jeong (FreeBSD)  Sam Leffler (FreeBSD),[empty]
mwl,Marvell 88W8363,Integrated since 8.0,Yes[40],BSD,Sam Leffler (FreeBSD),?
ral,Ralink Technology RT2500/ RT2501/ RT2600/RT3090/RT3592,Integrated,On Device,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Based on partial documentation
ray,Raytheon Raylink/Webgear Aviator,Integrated / Removed in 8.0,On Device,BSD,Imported from NetBSD,[empty]
rsu,Realtek RTL8188SU/RTL8192SU,Integrated since 10.0,Yes,BSD,Damien Bergamini (OpenBSD)  Imported from OpenBSD by Rui Paulo,?
rum,Ralink RT2501USB/ RT2601USB,Integrated,No[41],BSD,Niall O'Higgins and Damien Bergamini,Based on partial documentation
run,Ralink RT2700U/ RT2800U/ RT3000U,Integrated since 8.1,No[41],BSD,Damien Bergamini (OpenBSD)  Imported from OpenBSD by Akinori Furukoshi,Based on partial documentation
uath,Atheros AR5005UG/ AR5005UX,Integrated since 8.0,Yes[42],BSD,Weongyo Jeong (FreeBSD)  Sam Leffler (FreeBSD),?
upgt,GW3887 (Conexant/Intersil PrismGT series),Integrated since 8.0,Yes,BSD,Imported from OpenBSD,Reverse engineering
ural,Ralink Technology RT2500USB,Integrated,On Device,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Based on partial documentation
urtw,Realtek RTL8187L/ RTL8187B,Integrated since 8.0,N/A[43],BSD,Weongyo Jeong (FreeBSD),?
urtwn,Realtek RTL8188CU/RTL8188EU/RTL8192CU,Integrated since 10.0,Yes,BSD,Damien Bergamini (OpenBSD/FreeBSD),Reverse engineering
wi,Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2  PRISM-2.5  PRISM-3; Symbol Spectrum24 802.11B (Symbol support removed in 8.0),Integrated,On Device,BSD,Bill Paul (FreeBSD),Documentation based
wpi,Intel PRO/Wireless 3945ABG,Integrated,Yes,BSD,Damien Bergamini  Benjamin Close,Reverse engineering
zyd,ZyDAS ZD1211/ZD1211B,Integrated,No,BSD,Florian Stoehr  Damien Bergamini and Jonathan Gray (OpenBSD),Documentation based
Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,802.11a?  802.11b  802.11g,Cardbus  PCI,Yes,?,?,?,?,Yes
an,802.11b,Cardbus  PCI  ISA,Yes,?,?,?,?,Yes
arl,N/A,ISA,?,?,?,?,?,?
ath,802.11a  802.11b  802.11g  802.11n,Cardbus  PCI  Mini PCI,Yes,Yes,Yes,Yes,Yes,Yes
awi,N/A,PC Card,?,?,?,?,Yes,Yes
bwi,802.11b  802.11g,Cardbus  PCI,Yes,Yes,Yes,Yes,No,No
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwi,802.11a  802.11b  802.11g,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwn,802.11a  802.11b  802.11g  802.11n,Mini PCI,Yes,Yes,Yes,Yes,No,No
malo,802.11b  802.11g,PCI,Yes,Yes,Yes,Yes,No,No
mwl,802.11a  802.11b  802.11g  802.11n,PCI,Yes,Yes,Yes,Yes,Yes,No
ral,802.11a  802.11b  802.11g,Cardbus  PCI  Mini PCI,Yes,Yes,Yes,Yes,Yes,Yes
ray,N/A,PC Card,?,?,?,No,No,Yes
rum,802.11a  802.11b  802.11g,USB,Yes,Yes,Yes,Yes,Yes,Yes
run,802.11a  802.11b  802.11g,USB,Yes,Yes,Yes,Yes,Yes,Yes
uath,802.11b  802.11g,USB,Yes,Yes,Yes,Yes,No,No
upgt,802.11b  802.11g,USB,Yes,Yes,Yes,Yes,No,No
ural,802.11b  802.11g,USB,Yes,Yes,Yes,Yes,Yes,Yes
urtw,802.11b  802.11g,USB,Yes,Yes,Yes,Yes,No,No
wi,802.11b,PC Card  Cardbus  PCI,Yes,Yes (since 8.0),Yes (since 8.0),Yes (since 8.0?),Yes,Yes
wpi,802.11a  802.11b  802.11g,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
zyd,802.11b  802.11g,USB,Yes,Yes,Yes,Yes,No,No
Driver,Chipset,Integration,Free firmware[note 2],License,Original/Primary developer,Development methodologies,Free software[note 3]
an,Aironet 4500/4800  Cisco Aironet 340/350,Integrated,N/A,BSD,Bill Paul (FreeBSD),Ported from FreeBSD,Yes
ath,Atheros AR521*/ AR2413/ AR2417/ AR5413/ AR5416/ AR5424/ AR9160,Integrated,N/A,BSD,Sam Leffler (FreeBSD),Binary blobs ported from FreeBSD,Yes
athn,Atheros AR5008 up to the AR9287,Integrated,N/A,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
atu,Atmel at76c503/ at76c503a/ at76c505/ at76c505a,Integrated,N/A,BSD,Dan Vreeken (FreeBSD),Ported from OpenBSD,Yes
atw,ADMtek ADM8211,Integrated,N/A,BSD,David Young (NetBSD),[empty],Yes
awi,AMD PCnetMobile,Integrated,N/A,BSD,[empty],[empty],Yes
bwi,Broadcom BCM430x/4318,Integrated,N/A,BSD,Sepherosa Ziehau (DragonflyBSD),Ported from Dragonfly BSD,Yes
cnw,Netwave AirSurfer,Integrated,N/A,BSD,[empty],[empty],Yes
ipw,Intel PRO/Wireless 2100,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
iwi,Intel PRO/Wireless 2200BG/2915ABG,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
iwm,Intel Wireless WiFi 7260  7265  3160,Integrated,No,BSD,Antti Kantee (NetBSD),[empty],Yes
iwn,Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
malo,Marvell 88W8335/88W8310,Integrated,No,BSD,Claudio Jeker (OpenBSD),Ported from OpenBSD,Yes
otus,Atheros AR9001U,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
ral,Ralink RT2500/ RT2501/ RT2600/ RT2500USB/RT3592,Integrated,N/A,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
ray,Raytheon Raylink / WebGear Aviator,Integrated,N/A,BSD,Christian E. Hopps (NetBSD),[empty],Yes
rtw,Realtek RTL8180L,Integrated,N/A,BSD,David Young (NetBSD),[empty],Yes
rtwn,Realtek RTL8188CE and RTL8192CE,Integrated,N/A,BSD,Stefan Sperling (OpenBSD),Ported from OpenBSD,Yes
run,Ralink RT2700U  RT2800U and RT3000U,Integrated,N/A,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
upgt,Conexant/Intersil PrismGT SoftMAC USB IEEE 802.11b/g,Integrated,N/A,BSD,Marcus Glocker (OpenBSD),Ported from OpenBSD,Yes
urtw,Realtek RTL8187B/L,Integrated,No,BSD,Weongyo Jeong (FreeBSD),Ported from FreeBSD,Yes
urtwn,Realtek RTL8188CUS  RTL8188CE-VAU  RTL8188EUS  RTL8188RU  and RTL8192CU,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
wi,Lucent Technologies WaveLAN/IEEE and PRISM-II 802.11,Integrated,No,BSD,Bill Paul,[empty],Yes
wpi,Intel PRO/Wireless 3945ABG,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
zyd,ZyDAS ZD1211/ ZD1211B,Integrated,No,BSD,Damien Bergamini (OpenBSD),Ported from OpenBSD,Yes
Driver,Chipset,Integration,Free firmware[note 2],License,Original/Primary developer,Development,Free software[note 3]
acx,Texas Instruments ACX100/ACX111,Integrated,No[44],BSD,Ported from DragonFlyBSD,Reverse engineering,Yes
an,Aironet 4500/4800  Cisco Aironet 340/350,Integrated,N/A,BSD,[empty],[empty],Yes
ath,Atheros AR5210/ AR5211/ AR5212,Integrated,N/A[3],BSD,[empty],Reverse engineering,Yes
athn,Atheros AR5416/AR9160/AR928X,Integrated (since 4.7),Yes[45],BSD,Damien Bergamini,Partly based on the ath9k driver for Linux,Yes
atu,Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A,Integrated,Yes[46],BSD,[empty],Reverse engineering,Yes
atw,ADMtek ADM8211,Integrated,N/A,BSD,[empty],Documentation based,Yes
awi,BayStack 650,2.7 to 4.3,N/A,BSD,[empty],[empty],Yes
bwi,Broadcom BCM430x/4318,Integrated,No,BSD,Sepherosa Ziehau,Ported from DragonFly BSD,Yes
cnw,NetWave AirSurfer,2.6 to 6.0,N/A,BSD,[empty],[empty],Yes
ipw,Intel PRO/Wireless 2100,Integrated,No[47],BSD,Damien Bergamini,Reverse engineering,Yes
iwi,Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,No[48],BSD,Damien Bergamini,Reverse engineering,Yes
iwn,Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,No[49],BSD,Damien Bergamini,Reverse engineering,Yes
iwm,Intel Wireless WiFi Link 3160ac/ 7260ac/ 7265ac,Integrated (since 5.8),No[50],BSD,Antti Kantee [51] Stefan Sperling,Based on iwn  and iwlwifi driver released by Intel for Linux under dual GPLv2/BSD license[52],Yes
malo,Marvell 88W8335/ 88W8310,Integrated,No[53],BSD,Marcus Glocker and Claudio Jeker,Reverse engineering[54],Yes
otus,Atheros AR9170,Integrated (since 4.6),No[55],BSD,Damien Bergamini,Based on source code released by Atheros for Linux under the ISC,Yes
pgt,Conexant/Intersil Prism GT Full-MAC ISL3877  ISL3880  and ISL3890 chips,Integrated,No[56],BSD,Ported from FreeBSD,Reverse engineering[57],Yes
ral/ural,Ralink RT2500  RT2501  RT2600  RT2700  RT2800  RT3090  RT3292  RT3592 and RT5390 (ral)  RT2500USB (ural),Integrated,Yes[58],BSD,Damien Bergamini,Documentation based,Yes
ray,Raytheon Raylink/WebGear Aviator IEEE 802.11FH,2.7 to 5.4,N/A,BSD,[empty],[empty],Yes
rsu,Realtek RTL8188SU/RTL8191SU/RTL8192SU,Integrated (since 4.9),No,BSD,Damien Bergamini,Reverse engineering,Yes
rtw,Realtek RTL8180L,Integrated,N/A,BSD,Ported from NetBSD,Documentation based,Yes
rtwn,Realtek RTL8188CE/RTL8192CE,Integrated,No[59],BSD,Stefan Sperling,Based on urtwn driver.,Yes
rum,Ralink RT2501USB/ RT2601USB,Integrated,Yes[41],BSD,Niall O'Higgins and Damien Bergamini,Documentation based,Yes
run,Ralink RT2700U/ RT2800U/ RT3000U,Integrated,Yes[41],BSD,Damien Bergamini,Documentation based,Yes
uath,Atheros AR5005UG/ AR5005UX,Integrated,No[60],BSD,Damien Bergamini,Reverse Engineering[57],Yes
upgt,GW3887 (Conexant/Intersil PrismGT series),Integrated,No[61],BSD,Marcus Glocker,Reverse engineering,Yes
urtw,Realtek RTL8187L,Integrated,N/A,BSD,Weongyo Jeong (FreeBSD),?,Yes
urtwn,Realtek RTL8188CU/RTL8192CU,Integrated (since 4.9),No,BSD,Damien Bergamini,Reverse engineering,Yes
wi,Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2  PRISM-2.5  PRISM-3; Symbol Spectrum24,Integrated,Yes for Spectrum24[62] and N/A for others,BSD,Bill Paul,Documentation based,Yes
wpi[63],Intel PRO/Wireless 3945ABG,Integrated,No[64],BSD,Damien Bergamini,Reverse engineering,Yes
zyd,ZyDAS ZD1211/ZD1211B,Integrated,Yes[65],BSD,Florian Stoehr  Damien Bergamini  and Jonathan Gray,Documentation based,Yes
Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,802.11a  802.11b  802.11g,Cardbus  PCI,Yes,No,No,Yes,Yes,Yes
an,802.11b,PC Card  PCI  ISA,Yes,No,No,Yes,No,Yes
ath,802.11a  802.11b  802.11g,Cardbus  PCI,Yes,Yes,Yes,Yes,Yes,Yes
