Systems,Creator,Last Stable Version,Release Date,License,Implementation language(s),Server Operating System,Database backend,First Release Date
Act! CRM,Pat Sullivan and Mike Muhney,21.1,May 2019,SaaS or Proprietary,C#  .NET,Windows  Web  iOS  Android,MS SQL,1987
Adempiere,Jorg Janke,[empty],[empty],GPLv2,Java,Windows  Linux  Unix  Mac,[empty],2006
Base CRM,Base CRM,2016,2009,SaaS,Ruby on Rails  Python,Cloud Computing  iOS  Android  Windows Phone,MySQL,2009
CiviCRM,Dave Greenberg  Donald Lobo  Michal Mach,5.11.0,2019 March 7,AGPLv3,PHP 5.6.x  7.x,Cross-platform,MySQL & MariaDB,2004
Dolibarr,Rodolphe Quiedeville  Laurent Destailleur,7.0,2018,GPLv3 or SaaS,PHP 5.3.x,Cross-platform,MySQL or PostgreSQL,2003
Dynamics CRM,Microsoft,Dynamics 365 9.1,July 2019,Proprietary or SaaS,.NET  ASP.NET,Windows,MS SQL,2003
Epesi CRM,Telaxus LLC,1.8.0,2016 September 26,MIT,PHP 5.x,Cross-platform,MySQL  PostgreSQL  AdoDB  others,2006
GNU Enterprise,FSF,[empty],[empty],GPLv3,Python,Linux  Unix  Mac OS X  Windows,Firebird/Interbase  MySQL  MaxDB  MS ADO (MS SQL-Server/MS Access)  Oracle  PostgreSQL  SQLite  SQLite3  CSV files DBF files (DBase  XBase etc.)  INI style configuration files,2003
Group-Office,Intermesh BV,6.2.4,2016,AGPLv3  SaaS and proprietary,PHP/JavaScript,Windows  Linux  Unix  Mac OS,MySQL,2003
HubSpot CRM Free,HubSpot,N/A,N/A,SaaS<ref name="Robinson17"></ref>,Java <ref name="Sorenson16"></ref>,Cloud computing,HBase,2014<ref name="Salager14"></ref>
Neolane,Adobe,v6,2012,Proprietary or SaaS,C++  JavaScript,Windows  Linux,MS SQL  Oracle  PostgreSQL  MySQL,2001
Nutshell CRM,Nutshell CRM,2017,2017,SaaS,PHP,Web  iOS  Android,MySQL,2010
Pega CRM<ref name=forrester-crm></ref>,Chordiant,?,?,Proprietary,?,Windows  Linux  Mac  web browser,?,?
Pipedrive,Pipedrive,2018,2018,SaaS,JavaScript  PHP,Web  iOS  Android,MySQL,2011
Pivotal CRM,Aptean,6.6,January 2019,Proprietary,.NET,Windows,MS SQL  Oracle,1996
Really Simple Systems,Really Simple Systems,2016,2006,SaaS,VBScript  JavaScript  ASP,Cloud Computing,MySQL,2006
SageCRM,Sage Group,Sage CRM 2019 R1,February 2019,Proprietary or SaaS,ASP.NET  ASP,Windows,MS SQL  ORACLE  DB2,1981
Salesbox CRM,Salesbox CRM,2019,2019,SaaS,JS  React,Web  iOS  Android,PostgreSQL,2014
[added],[added],[added],[added],[added],[added],[added],[added],[added]
Salesforce.com,Marc Benioff,Summer '19,June 2019,Proprietary,APEX (Proprietary Language Java-like),Cloud Computing,Proprietary,1999
SAP CRM,SAP SE,7.0 EHP4 SP11,2018,Proprietary,ABAP,Windows  Linux  Unix,SAP HANA  MS SQL  Oracle,2000
SAP Cloud for Customer,SAP SE,1811,2018,Proprietary,ABAP,Linux,SAP HANA,2009
Streak,Aleem Mawani  Omar Ismail,[empty],[empty],Proprietary,Java,Windows  Mac,Google App Engine,2012
SugarCRM,John Roberts  Clint Oram  Jacob Taylor,9.0.1<ref>https://community.sugarcrm.com/community/releases/blog/2019/06/28/version-901-now-available</ref>,June 2019,Proprietary or SaaS,PHP,Cross-platform,MySQL  Microsoft SQL Server  IBM DB2  and Oracle (IBM DB2 and Oracle only available for Sugar Enterprise edition),2004
SuiteCRM,SalesAgility,7.11.6,July 2019,AGPLv3,PHP,Cross-platform,MariaDB  MySQL  Microsoft SQL Server,2013
SuperOffice CRM,SuperOffice,7.5,2014,Proprietary,C++ C# and ASP.NET,Windows,SQL Server,1990
TeamLab,Ascensio System SIA,[empty],2011,GPLv3  SaaS,ASP.NET,Windows,Microsoft SQL Server  Amazon Server,2010
Tryton,Tryton,4.0,2016 April,GPLv3,Python  JavaScript,Cross-platform,PostgreSQL  MySQL  SQLite,2008
WORKetc,Daniel Barnett,v4.0,2013,SaaS,C#  .NET,Windows,Microsoft SQL Server  Amazon Server,2009
Zoho CRM,Zoho CRM,Zoho CRM 2018,2018,SaaS,Java,Cloud Computing  Cross Platform,Proprietary,1999
System,Office Integration,Multi Lingual,Languages Supported,Web-Based,Time Tracking,Attaching Emails to Business Objects,Desktop Environment,Global Search,LDAP Support
Act! CRM,[empty],[empty],en  de  fr,[empty],[empty],[empty],[empty],[empty],[empty]
Adempiere,?,?,?,?,?,?,?,?,?
Base CRM,[empty],[empty],de  en  es  fr  nl  pl  pt,[empty],[empty],[empty],[empty],[empty],[empty]
CiviCRM,?,[empty],Over 40,Integrated with Drupal  Wordpress  Joomla! or Backdrop,?,(when email is sent from software),?,[empty],?
Dolibarr,A module google is available for customer and agenda sync,[empty],Over 30,[empty],[empty],(when email is sent from software),?,[empty],[empty]
Microsoft Dynamics CRM,[empty],[empty],over 40,[empty],[empty],[empty],[empty],[empty],with ADFS
Epesi CRM,Any type of file attachments,[empty],ar  bg  cs  da  de  el  en  es  et  fa  fi  fr  he  hr  hu  id  in  it  jp  ko  lt  nl  no  pl  pt  ro  ru  sk  sl  sr  sv  th  tr  vi  zh,[empty],[empty],[empty],?,?,?
GNU Enterprise,[empty],[empty],[empty],[empty],[empty],?,?,?,?
Group-Office,[empty],[empty],Over 20 languages,[empty],[empty],?,?,?,?
HubSpot CRM Free,Gmail  G Suite  Outlook  Office 365 for Windows<ref name="Houpes15"></ref>,[empty],en  fr  jp  de  pt  es<ref name="HubSpotLanguages"></ref>,<ref name="Houpes15"/>,[empty],<ref name="Brooks17"></ref>,<ref name="Campbell14"></ref>,[empty],[empty]
Neolane,?,?,?,?,?,?,?,?,?
Nutshell CRM,Google Apps  Microsoft Exchange,[empty],[empty],[empty],[empty],[empty],?,[empty],?
Pega CRM<ref name=forrester-crm/>,?,?,?,?,?,?,?,website=community.pega.com|language=en|access-date=2018-10-28}}</ref>,website=community.pega.com|language=en|access-date=2018-10-28}}</ref>
Pipedrive,[empty],[empty],de  en  es  et  fi  fr  it  no  nl  pl  pt  ru  tr  ko  ja,[empty],[empty],[empty],[empty],[empty],[empty]
Pivotal CRM,[empty],[empty],[empty],Web/Windows,?,[empty],?,[empty],[empty]
Really Simple Systems,[empty],[empty],en,[empty],[empty],?,?,?,?
SageCRM,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?
Salesbox CRM,[empty],[empty],de  en  es  fr  nl  pt  se  no  fi  tr  ro  ru  jp  ch  ko  hu,[empty],[empty],[empty],[empty],[empty],[empty]
Salesforce.com<ref></ref>,[empty],[empty],en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl,[empty],[empty],[empty],[empty],[empty],[empty]
Siebel,[empty],[empty],[empty],[empty],[empty],[empty],?,?,[empty]
SAP CRM,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SAP Cloud for Customer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Streak,via Google Docs,[empty],de  en  es  fr  it  nl  pl  pt  pt-br  ru  zh-cn,[empty],[empty],?,?,?,?
SugarCRM,- Outlook  Excel  Word Plugins,[empty],sq_AL  ar_SA  bg_BG  ca_ES  zh_CN  hr_HR  cs_CZ  da_DK  nl_NL  en_UK  en_us  et_EE  fi_FI  fr_FR  de_DE  el_EL  he_IL  hu_HU  it_it  ja_JP  ko_KR  lv_LV  lt_LT  nb_NO  pl_PL  pt_PT  pt_BR  ro_RO  ru_RU  sr_RS  sk_SK  es_ES  es_LA  sv_SE  th_TH  zh_TW  tr_TR  uk_UA,[empty],[empty],[empty],?,[empty],[empty]
SuiteCRM,Via Plugin,[empty],20 languages,[empty],[empty],[empty],[empty],[empty],[empty]
SuperOfficeCRM,[empty],[empty],cn  de  dk  en  es  fi  fr  it  jp  nl  no  ru  se  zh,[empty],[empty],?,?,?,?
TeamLab,[empty],[empty],en  de  fr  es  it  ru  lat,[empty],[empty],?,?,?,?
Tryton,?,[empty],bg  ca  cs  de  en  es-ar  es-co  es-es  fr  nl  ru  sl,[empty],[empty],[empty],[empty],[empty],[empty]
WORKetc,Outlook Addon and Google Docs,[empty],de  en  es  fr  it  nl,[empty],[empty],[empty],?,[empty],?
Zoho CRM,Outlook & MS Office,[empty],en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl  pl,[empty],[empty],[empty],?,[empty],[empty]
