File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
APFS,no,no,no,partial (readonly with apfsfuse[77] or linuxapfs[78]),no,yes (Since macOS Sierra),no,no,no,no,no,no
BeeGFS,no,no,no,yes,no,dunno,no,no,dunno,dunno,dunno,no
DECtape,no,no,no,no,no,no,no,no,no,no,no,no
LevelD,no,no,no,dunno,no,dunno,no,no,no,no,dunno,dunno
RT11,no,no,no,no,no,no,no,no,no,no,no,no
Version 6 Unix file system (V6FS),no,no,no,dunno,no,no,no,no,no,no,no,no
Version 7 Unix file system (V7FS),no,no,no,yes,no,dunno,no,no,dunno,dunno,dunno,dunno
exFAT,no,no,yes (installable drivers for Windows XP  2003 Included with Windows Vista SP1 and newer),yes (available as a kernel module or FUSE driver),no,yes,yes (available as a FUSE driver),no,no,no,yes (available as a FUSE driver),no
FAT12,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial (via dosdir  dosread  doswrite),yes,dunno
FAT16 / FAT16B / FAT16X,yes (FAT16 from DOS 30  FAT16B from DOS 331  FAT16X from DOS 70),yes,yes,yes,yes,yes,yes,yes,yes,partial (via dosdir  dosread  doswrite  not FAT16X),yes,dunno
FAT32 / FAT32X,yes (from DOS 710),yes (from Windows 95 OSR2),yes (from Windows 2000),yes,yes?,yes,yes,yes,yes,no,yes,dunno
GFS,no,no,no,yes,no,dunno,no,dunno,dunno,dunno,dunno,dunno
HPFS,partial (with thirdparty drivers),no,partial (with NT 31 to 40 only),yes,dunno,dunno,yes,yes (from OS/2 12),dunno,no,dunno,dunno
NTFS,partial (with thirdparty drivers),yes (with 3rdparty drivers like Paragon NTFS for Win98  DiskInternals NTFS Reader),yes,yes with ntfs3g,no,yes natively read only  write support with Paragon NTFS or ntfs3g,yes with ntfs3g,dunno,yes with ntfs3g,no,yes with ntfs3g,dunno
Apple HFS,no,no,yes with Paragon HFS [79],yes,yes,yes,no,dunno,yes,no,dunno,no
Apple HFS Plus,no,no,yes with Paragon HFS [79],partial  writing support only to unjournalled FS,yes from Mac OS 81,yes,no,dunno,yes2|with addon,no,dunno,no
FFS,no,no,dunno,dunno,dunno,yes,yes,dunno,dunno,dunno,dunno,dunno
UFS1,no,no,partial (with ufs2tools  read only),partial  read only,dunno,yes,yes,no,dunno,dunno,yes,dunno
UFS2,no,no,partial (with ufs2tools  read only),yes,dunno,yes,yes,no,dunno,dunno,dunno,dunno
LFS,no,no,no,dunno,dunno,dunno,no,no,dunno,dunno,dunno,dunno
ext,no,no,no,yes  until 2120,no,no,no,no,no,no,no,no
Xiafs,no,no,no,yes  until 2120 Experimental port available to 2632 and later [80][81],no,no,no,no,no,no,no,no
ext2,no,no,yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],yes,no,yes with Paragon ExtFS [85] or ext2fsx,yes,no,yes,dunno,dunno,dunno
ext3,no,no,yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],yes,partial (read only)citation needed|date=October 2016,yes with Paragon ExtFS [85] or partial with ext2fsx (journal not updated on writing),partial (readonly)[86][87],no,yes2|with addon,dunno,yes,dunno
ext4,no,no,yes with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84],yes,dunno,yes with Paragon ExtFS [85],partial support in kernel since version 101 (readonly)[86][87],no,yes2|with addon,dunno,dunno,dunno
NOVA,no,no,no,yes,no,no,no,no,no,no,no,no
Lustre,no,no,no,yes[88],dunno,dunno,no,dunno,dunno,dunno,yes,dunno
NILFS,no,no,dunno,yes as an external kernel module,dunno,dunno,no,dunno,dunno,dunno,dunno,dunno
F2FS,no,no,no,yes,no,no,no,no,no,no,no,no
ReiserFS,no,no,no,yes,dunno,dunno,partial  Read Only from 60 to 10x[89] and dropped in 110[90][91],dunno,yes2|with addon,dunno,dunno,dunno
Reiser4,no,no,no,yes with a kernel patch,dunno,dunno,no,dunno,dunno,dunno,dunno,dunno
SpadFS,no,no,no,yes,no,no,dunno,no,no,no,no,no
OCFS,no,no,no,yes,dunno,dunno,no,no,dunno,dunno,dunno,dunno
OCFS2,no,no,no,yes,dunno,dunno,no,no,dunno,dunno,dunno,dunno
XFS,no,no,no,yes,dunno,dunno,partial,dunno,partial|with addon (read only),dunno,dunno,dunno
JFS,no,no,no,yes,dunno,dunno,no,yes,dunno,dunno,dunno,dunno
QFS,no,no,no,partial  client only[92],dunno,dunno,no,no,dunno,dunno,yes,dunno
Be File System,no,no,no,partial  readonly,dunno,dunno,no,no,yes,dunno,dunno,dunno
NSS,no,no,no,yes via EVMSefn |name=EVMS |Supported using only EVMS; not currently supported using LVM,dunno,dunno,no,no,dunno,dunno,dunno,dunno
NWFS,partial (with Novell drivers),no,no,dunno,dunno,dunno,yes,no,dunno,dunno,dunno,dunno
ODS2,no,no,no,dunno,dunno,dunno,no,no,dunno,dunno,dunno,dunno
ODS5,no,no,no,dunno,dunno,dunno,no,no,dunno,dunno,dunno,dunno
UDF,no,dunno,yes,yes,dunno,yes,yes,dunno,dunno,dunno,yes,dunno
VxFS,no,no,no,yes,dunno,dunno,no,no,dunno,dunno,yes,dunno
Fossil,no,no,no,yesefn |name=fossilp9p |Provided in Plan 9 from User Space,no,yesefn |name=fossilp9p,yesefn |name=fossilp9p,no,no,no,yesefn |name=fossilp9p,dunno
ZFS,no,no,yes[93],yes with FUSE[94] or as an external kernel module[95],no,yes with Read/Write Developer Preview[96],yes,no,no,no,yes,no
Btrfs,no,no,Partial with WinBtrfs[97],yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
VMFS2,no,no,no,dunno,dunno,dunno,no,no,dunno,dunno,dunno,dunno
VMFS3,no,no,no,dunno,dunno,dunno,no,no,dunno,dunno,dunno,dunno
IBM HFS,no,no,no,no,no,no,no,no,no,no,no,yes
IBM zFS,no,no,no,no,no,no,no,no,no,no,no,yes
ReFS,no,no,yes (from Windows Server 2012 and from Windows 81),Partial  with Paragon ReFS for Linux,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
ISO 9660,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Rock Ridge,no,no,no,yes,no,yes,yes,no,no,yes,yes,dunno
Joliet ("CDFS"),no,yes,yes,yes,dunno,yes,yes,yes,yes,dunno,yes,dunno
SquashFS,no,no,partial (There are ports of unsquashfs and mksquashfs),yes,no,partial (There are ports of unsquashfs and mksquashfs),partial (There are ports of unsquashfs and mksquashfs and fusefsport[98][99]),no,no,no,no,no
File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
